"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000143297",1547.45439830355,5.050276747109,0.86544741035145,5.83545191389288,5.3644966795132e-09,3.14404209558469e-06,"FCRL5"
"ENSG00000211678",289.323879263249,7.00372075798844,1.20615094035958,5.80667022976449,6.37274770119143e-09,3.65873751693709e-06,NA
"ENSG00000211972",73.575926375309,7.63107450183724,1.32563966110509,5.75652247419617,8.58643553385243e-09,4.83107208876673e-06,NA
"ENSG00000241294",156.504766037902,5.28448469708693,0.919958986356427,5.74426118496496,9.23231915360222e-09,4.90044532885165e-06,NA
"ENSG00000211945",1003.31557797152,6.71004170292316,1.1679050039461,5.74536600173076,9.1722369310973e-09,4.90044532885165e-06,NA
"ENSG00000211644",2206.34531494098,5.0416514725191,0.876995465113186,5.74877712950137,8.98912141602652e-09,4.90044532885165e-06,NA
"ENSG00000211670",185.215128450961,6.46101692989077,1.12727522160055,5.73153459429116,9.95260444686252e-09,5.18493830183586e-06,NA
"ENSG00000211671",1214.32050274691,5.45739834600294,0.961651255169659,5.6750285684805,1.38665512186897e-08,7.09261488880325e-06,NA
"ENSG00000211893",11874.718532462,5.17680064983645,0.914607869421844,5.66013132284646,1.51257203507189e-08,7.5985136590433e-06,NA
"ENSG00000211652",194.199152882827,6.36144278832011,1.12492466106595,5.65499451518126,1.55851249465495e-08,7.62219608975934e-06,NA
"ENSG00000211663",1886.90743642006,6.54075850590002,1.15692501109498,5.65357170358819,1.57147509315385e-08,7.62219608975934e-06,NA
"ENSG00000211946",87.3633430595831,7.07906447217232,1.25764337273275,5.62883296302842,1.81432991328647e-08,8.65097103738561e-06,NA
"ENSG00000211625",177.81213078494,6.95112858527309,1.23605013062362,5.62366235240482,1.86950894257442e-08,8.76550426208391e-06,NA
"ENSG00000242887",215.03329843096,6.1575712630098,1.10274084291376,5.58387884386302,2.35212593999462e-08,1.08475421219555e-05,NA
"ENSG00000241351",2764.57778695927,5.55965596574606,1.00190466184543,5.54908683178059,2.87165536880845e-08,1.3029904650858e-05,NA
"ENSG00000211650",192.666539152338,7.40911622894389,1.33635467541705,5.54427381086659,2.9517662558959e-08,1.3180807668391e-05,NA
"ENSG00000241755",716.219948188081,6.07201170235516,1.10246075135404,5.50768967956231,3.63573576367566e-08,1.59813310162068e-05,NA
"ENSG00000211967",294.786358462807,5.85881569595528,1.06579827540547,5.4971150086787,3.86054936472863e-08,1.67084576505455e-05,NA
"ENSG00000211679",4677.19733549007,5.13853306206861,0.958103641482598,5.36323299441498,8.17454520371944e-08,3.48433796471265e-05,NA
"ENSG00000211897",14210.0271065283,5.23121557077643,0.977320316401042,5.35261109688198,8.66940426225231e-08,3.64011463739824e-05,NA
"ENSG00000239819",39.803603154058,6.44157702366681,1.204066897477,5.34984977758667,8.8027270476931e-08,3.64173996037797e-05,NA
"ENSG00000211956",792.497444753965,5.88486734829199,1.10069719593415,5.34649072427004,8.96758744439534e-08,3.65617637660478e-05,NA
"ENSG00000240671",67.4719654789198,5.5695888542184,1.04531340814111,5.32815212245564,9.92170106203077e-08,3.98738991824357e-05,NA
"ENSG00000232216",140.10608841445,6.12908612252349,1.15361935009608,5.31291896413927,1.07883020893423e-07,4.27459879404756e-05,NA
"ENSG00000211598",2950.01161192191,5.36214461357091,1.01426977970498,5.28670450492039,1.2453957204769e-07,4.86603783450779e-05,NA
"ENSG00000211955",1089.4117561868,6.69481968063365,1.27305857157366,5.25884655280081,1.44961786822954e-07,5.58639039301826e-05,NA
"ENSG00000241244",39.2889595699369,7.24784025927834,1.3812230777928,5.24740744330771,1.54254501418324e-07,5.86417247824363e-05,NA
"ENSG00000211978",14.2570836814904,5.93698585929638,1.13303861919304,5.23987952283986,1.60681464458697e-07,6.02705461086941e-05,NA
"ENSG00000254395",81.8595941149645,7.37170468269549,1.41144272518589,5.22281531595596,1.76223126309402e-07,6.52303814386329e-05,NA
"ENSG00000211964",510.56681525606,5.18209121024512,0.99790194045311,5.19298640494889,2.06947301846494e-07,7.56083311109814e-05,NA
"ENSG00000211642",78.4960102815253,6.7074694300623,1.29306795184762,5.18725208561409,2.13419753150012e-07,7.69733909694376e-05,NA
"ENSG00000211632",26.4365446798379,5.73469582068804,1.10649846548677,5.18274177467137,2.1864765833032e-07,7.78607079006146e-05,NA
"ENSG00000211674",60.2893040101218,5.24104372338834,1.01197700591604,5.179014634472,2.23060972477126e-07,7.84393909715812e-05,NA
"ENSG00000263884",40.6285211429695,-1.45015249423663,0.282213887324646,-5.13848736496954,2.76958812401371e-07,9.61901890182143e-05,NA
"ENSG00000243466",3404.1496004084,5.73472603140148,1.11744206798474,5.1320119366401,2.86661314490419e-07,9.83458060883471e-05,NA
"ENSG00000148408",178.043439464637,-2.03478210834166,0.396939468231628,-5.12617734237075,2.95684107397829e-07,0.000100219100112238,"CACNA1B"
"ENSG00000242472",208.42753823709,5.96932741059828,1.18451882213193,5.03945340425618,4.66863272832814e-07,0.000156354733230152,NA
"ENSG00000211593",1331.37317294872,5.44078879710479,1.08132631206395,5.03158827858338,4.86433031044398e-07,0.000160992165051071,NA
"ENSG00000254056",11.4446740597389,5.88480784524687,1.17100855011361,5.02541834103257,5.02336283965673e-07,0.000164322376052585,NA
"ENSG00000211666",3145.84079186429,5.03397174831514,1.00395343309571,5.01414864710688,5.32687945503529e-07,0.000172248014746038,NA
"ENSG00000253883",10.6532233457351,5.75249741391134,1.15333861016335,4.98769170061564,6.11049762382378e-07,0.000195341499037967,NA
"ENSG00000242371",1667.05021594074,5.33563895490376,1.07150919907651,4.97955496742569,6.3730650882563e-07,0.000199207852292029,NA
"ENSG00000225698",82.3366623482258,5.80990994081886,1.16652949241864,4.98050840426913,6.34174482391544e-07,0.000199207852292029,NA
"ENSG00000211950",582.764622120194,6.35599654486817,1.28456785701479,4.94796480400723,7.49934646228401e-07,0.000231836939205466,NA
"ENSG00000253709",9.70925215409353,6.31938260656541,1.2836418791687,4.92301062244705,8.52228246776272e-07,0.000260451844698953,NA
"ENSG00000211662",992.995369659119,5.02240608364652,1.02060594777764,4.92100412953966,8.61013136535e-07,0.000260451844698953,NA
"ENSG00000211648",1749.08805726619,6.34249220986141,1.2895652530636,4.91831816559391,8.72909502253859e-07,0.000261241384227719,NA
"ENSG00000270999",10.8569573899737,5.92515380387047,1.20897599741087,4.90096893284871,9.53651377696274e-07,0.000282401269024753,NA
"ENSG00000211949",3167.33402643574,5.19119770078452,1.06095557945344,4.89294537991761,9.93379824812798e-07,0.000291101679496184,NA
