"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000253120",2.83198534081831,-4.68134810359967,1.43168694143812,-3.26981267210364,0.00107618727301347,0.0217542828926975,"IGLV2-34",NA
"ENSG00000260831",17.6877142427838,-1.73683522180426,0.531183643691004,-3.26974529888687,0.00107644360775713,0.0217542828926975,NA,NA
"ENSG00000104388",5881.87705847087,0.447024499081953,0.13675328860976,3.26883911623935,0.0010798968518053,0.0217856236982166,"RAB2A",5862
"ENSG00000268218",254.413826397283,-0.67457630998826,0.206368848180358,-3.26878943181729,0.00108008648316834,0.0217856236982166,"AC137932.4",NA
"ENSG00000116157",713.422605612173,0.561731434642803,0.17191155097069,3.26756073964207,0.00108478586357352,0.0217865040712115,"GPX7",2882
"ENSG00000228863",8.7082900327925,-3.25541765598518,0.996073043210202,-3.26825194013225,0.00108213990649693,0.0217865040712115,"RP11-404F10.2",NA
"ENSG00000137261",20.8628470694283,-1.45862214551786,0.446326674515376,-3.26805953756101,0.00108287583493033,0.0217865040712115,"KIAA0319",9856
"ENSG00000189056",1021.52735299003,1.31839483304185,0.403478859459508,3.26756855317758,0.00108475591947923,0.0217865040712115,"RELN",5649
"ENSG00000139574",178.549274799526,-0.736864426460233,0.22548718916669,-3.26787712057341,0.00108357399656687,0.0217865040712115,"NPFF",8620
"ENSG00000155465",847.229019971237,-1.26824793119969,0.388112263157379,-3.2677347550995,0.00108411915890689,0.0217865040712115,"SLC7A7",9056
"ENSG00000211944",3.59372625064703,-5.65651055301437,1.73245521431591,-3.26502555810537,0.00109454199834995,0.0219667302985501,"IGHV3-16",NA
"ENSG00000161570",1383.57963076371,-1.67189311965846,0.512288354610124,-3.26357822623324,0.0011001480861852,0.0220634698684442,NA,NA
"ENSG00000239523",25.6496719750192,-0.884535166374568,0.27106818750381,-3.26314634896851,0.00110182605403958,0.022081349121534,"MYLK-AS1",100506826
"ENSG00000264546",4.55539173251874,-1.82868172351447,0.560442058233011,-3.26292735645148,0.00110267780718969,0.0220826567706598,"RP11-464D20.6",NA
"ENSG00000102575",585.408667892118,-1.63095956836285,0.499904679925585,-3.2625411080481,0.00110418157234519,0.0220970106961767,"ACP5",54
"ENSG00000169507",233.612364290478,-1.58998652467108,0.487381280627381,-3.2623052789889,0.00110510064816276,0.022099651637084,"SLC38A11",151258
"ENSG00000151092",1387.48038640243,-0.422368867075385,0.12948427269153,-3.26193180295798,0.00110655761074277,0.0221130377486298,"NGLY1",55768
"ENSG00000134256",91.6564666459513,-1.26838649272923,0.388986609701617,-3.26074589997372,0.00111119570441545,0.0221634214565355,"CD101",9398
"ENSG00000169583",4620.56042452296,1.44177766656013,0.442170614879044,3.26068177767653,0.00111144699970801,0.0221634214565355,"CLIC3",9022
"ENSG00000240954",8.71570578253483,-2.28186150621431,0.699727811992863,-3.26107018629922,0.00110992563075022,0.0221634214565355,"RPL4P1",NA
"ENSG00000117305",2364.81410863756,0.413579101386708,0.126849799758371,3.26038434569477,0.00111261332301218,0.0221709327680716,"HMGCL",3155
"ENSG00000109101",52.0987715434324,-1.51874007152884,0.465857748744668,-3.2600940429162,0.00111375278170811,0.022177898476609,"FOXN1",8456
"ENSG00000167004",28477.0391239002,1.00749811463482,0.309185442192156,3.25855611923887,0.00111980725949209,0.0222668756549287,"PDIA3",2923
"ENSG00000181704",2992.13704163778,0.366406027451667,0.112438186451749,3.25873298933814,0.00111910941426952,0.0222668756549287,"YIPF6",286451
"ENSG00000124103",12.749297251793,-1.67975849284667,0.515639012121332,-3.25762491463973,0.00112348798949321,0.0223242549759384,"FAM209A",200232
"ENSG00000085465",311.006980282942,-0.92123394377078,0.282838196488449,-3.25710584782491,0.00112554453318527,0.0223493025871589,"OVGP1",5016
"ENSG00000112715",36901.1021731191,0.714236039057633,0.219353702387115,3.25609292792857,0.00112956774964425,0.0224059343833635,"VEGFA",7422
"ENSG00000235568",344.021110784934,-1.6561063321337,0.508634329298765,-3.25598615102704,0.00112999263051048,0.0224059343833635,"NFAM1",150372
"ENSG00000132846",1723.35495196653,0.599156326882981,0.184058105349067,3.25525640800593,0.00113290034201961,0.0224140594813795,"ZBED3",84327
"ENSG00000176381",15.4302705869467,1.74954015974006,0.537479568412161,3.25508216974389,0.00113359562857709,0.0224140594813795,"PRR18",285800
"ENSG00000090863",8041.47830200507,0.418234099764154,0.1284728464783,3.25542798520305,0.00113221605953339,0.0224140594813795,"GLG1",2734
"ENSG00000198089",2763.10947925198,-0.628749727563741,0.193136923643902,-3.2554610257902,0.00113208433127108,0.0224140594813795,"SFI1",9814
"ENSG00000162881",242.789603798864,-0.955199951502242,0.293559350418679,-3.2538563331058,0.0011384984118238,0.0224751730553042,"OXER1",165140
"ENSG00000260336",4075.31964203387,-0.402707115431807,0.123768622815433,-3.25370927034015,0.0011390879103073,0.0224751730553042,NA,NA
"ENSG00000241499",2.46181676717825,-3.22362174945074,0.990745717755237,-3.25373271030089,0.00113899393274311,0.0224751730553042,"RP11-85G20.2",NA
"ENSG00000142961",2068.56722852341,-0.399515307527719,0.122809517737638,-3.25312984602071,0.00114141326929073,0.0225052390181712,"MOB3C",148932
"ENSG00000204410",1094.64467923248,-0.660388998404304,0.203022700082522,-3.25278403910439,0.00114280315960577,0.0225168310963166,"MSH5",4439
"ENSG00000205436",106.046227731115,-1.99459138359636,0.613501087176228,-3.25116193807723,0.00114934372135498,0.0226298202415734,"EXOC3L4",91828
"ENSG00000196550",19.9253730931929,-1.63605821231111,0.503394796226834,-3.25004991027737,0.00115384756050497,0.0227025774045536,"FAM72A",729533
"ENSG00000174718",4791.40101193441,-0.993813219476157,0.305826469955926,-3.24959843933516,0.00115568072032857,0.022722722398225,"KIAA1551",55196
"ENSG00000250120",93.0482486270147,1.27960914698438,0.393836526767273,3.24908701965202,0.00115776054836505,0.0227317782632486,"PCDHA10",56139
"ENSG00000182107",5151.96098346728,0.758071605698499,0.23331516618323,3.24913128494683,0.00115758039477908,0.0227317782632486,"TMEM30B",161291
"ENSG00000138760",10027.6174004853,0.475555017517924,0.146383282194002,3.2486975998234,0.00115934654991452,0.02274701123826,"SCARB2",950
"ENSG00000162736",5677.7570419175,0.419353994261197,0.129102038312288,3.24823681905635,0.00116122577874625,0.0227520838728949,"NCSTN",23385
"ENSG00000129993",943.942448222204,-0.820568698000189,0.252612556428683,-3.24832902054039,0.00116084952296081,0.0227520838728949,"CBFA2T3",863
"ENSG00000125430",325.517788824726,-1.10539548248336,0.34037816249889,-3.24755111893222,0.00116402752143617,0.0227910744207555,"HS3ST3B1",9953
