"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000211679",4677.19733549007,7.04249898367294,1.06252062659765,6.62810566438045,3.40022051642644e-11,3.54277790992995e-08,NA
"ENSG00000211640",1032.80633572255,9.56369006507874,1.46319235384228,6.53618100174247,6.31095335690756e-11,6.34070499416155e-08,NA
"ENSG00000211664",115.996980662869,7.94315480151959,1.22282630187354,6.49573434047793,8.26293560455313e-11,8.01561739404444e-08,NA
"ENSG00000243290",776.03836216629,8.46649346168576,1.31375275095847,6.44451054850992,1.15974068656777e-10,1.08752749981748e-07,NA
"ENSG00000253755",1960.02655226563,6.37977619874475,0.991461226856345,6.43472082007008,1.23700481651596e-10,1.12256191929764e-07,NA
"ENSG00000211677",935.66995671535,5.57755087918263,0.868299490035191,6.42353351947331,1.33146808608586e-10,1.17052688118023e-07,NA
"ENSG00000240834",193.373497091702,9.54879858964042,1.49181272338853,6.40080248675657,1.54562412176687e-10,1.27886758216311e-07,NA
"ENSG00000226777",331.652401231493,6.25737671840944,0.977036545699443,6.4044448961015,1.50917446692115e-10,1.27886758216311e-07,"FAM30A"
"ENSG00000235621",71.1210280888155,5.91696789979802,0.925854673501677,6.39081712189175,1.65001625726859e-10,1.32623592427085e-07,"LINC00494"
"ENSG00000104894",2439.12879269022,3.35601586634275,0.525570792052438,6.38546874577443,1.70873241435258e-10,1.33527945223796e-07,"CD37"
"ENSG00000211594",2145.83344790366,6.54995853685956,1.02719394436814,6.37655485876977,1.81115893341391e-10,1.3770681922919e-07,NA
"ENSG00000168081",57.6197759507853,5.32892383923685,0.837926846444908,6.35965282869979,2.02210253112592e-10,1.49699443172722e-07,"PNOC"
"ENSG00000211650",192.666539152338,9.21020651172913,1.45064180911009,6.34905629624671,2.16639751024321e-10,1.56269473738877e-07,NA
"ENSG00000239951",5935.13731482671,6.61817427219887,1.04510855082236,6.33252332209056,2.41183816053207e-10,1.69624577830221e-07,NA
"ENSG00000211655",148.949283465146,9.17815919961727,1.45136064674398,6.32383082744307,2.55157066695382e-10,1.75075087811573e-07,NA
"ENSG00000211595",961.059615116096,6.65942573647428,1.05378912147833,6.31950510850973,2.62402274570865e-10,1.75759542576847e-07,NA
"ENSG00000163534",761.291736328069,6.20905127447557,0.986165960922878,6.29615249411468,3.05124211702375e-10,1.99622193572354e-07,"FCRL1"
"ENSG00000105369",1712.01934463327,5.86749724967918,0.932984840965432,6.28895239456155,3.19615455242168e-10,2.04350499701651e-07,"CD79A"
"ENSG00000211947",824.95242730334,7.56939043511312,1.20436555136527,6.28496092945573,3.27936155205493e-10,2.05011109294243e-07,NA
"ENSG00000121895",152.168929096097,4.35130889410644,0.693192581535776,6.27720060775328,3.44723191639114e-10,2.10820713634599e-07,"TMEM156"
"ENSG00000211943",631.001697208306,6.88783724855371,1.10249423705772,6.24750408395389,4.17063382300917e-10,2.49634618529562e-07,NA
"ENSG00000160856",637.196441352717,4.77535110478202,0.765180484807818,6.24081664338498,4.35292262762616e-10,2.49911059919141e-07,"FCRL3"
"ENSG00000240864",374.55058417903,6.77308652494554,1.08478916176413,6.24368933953109,4.2736841159177e-10,2.49911059919141e-07,NA
"ENSG00000211953",1587.85993619257,6.95266118801901,1.11796163925779,6.21905165962119,5.0016862614627e-10,2.81414875814937e-07,NA
"ENSG00000211900",458.444671782907,6.71739198134317,1.08071185101229,6.21571048291093,5.10929334238052e-10,2.81832628054605e-07,NA
"ENSG00000167895",4169.07708040363,3.38590991624165,0.547575690598493,6.18345550099365,6.27134176980406e-10,3.392795897464e-07,"TMC8"
"ENSG00000132704",570.296735574368,6.61324582414057,1.07072519115362,6.17641751476432,6.55724425640207e-10,3.48053576266232e-07,"FCRL2"
"ENSG00000224373",1606.89204262305,7.43864566794777,1.20511747495591,6.17254817271646,6.71980439573439e-10,3.50076920853333e-07,NA
"ENSG00000226025",71.5326494251692,5.53868034129065,0.897777007552569,6.16932745514351,6.85810685706259e-10,3.50785931096154e-07,"LGALS17A"
"ENSG00000233355",240.368369415875,3.86469558975628,0.627658645516,6.15732073056862,7.39859174174777e-10,3.71673540855086e-07,"CHRM3-AS2"
"ENSG00000136573",1120.38845480333,4.72757239790423,0.76841009024404,6.15240801484374,7.63152357111611e-10,3.76412091106797e-07,"BLK"
"ENSG00000110777",1825.9507478172,4.61695170049298,0.75075438473719,6.14974989737715,7.76052228216772e-10,3.76412091106797e-07,"POU2AF1"
"ENSG00000244575",268.555552491938,7.38857947943808,1.20390094733359,6.1371988250382,8.39892431080676e-10,4.00472099511213e-07,NA
"ENSG00000161405",197.914074080345,3.98550499829291,0.649982663307888,6.1317096951631,8.69396426381608e-10,4.07631004449457e-07,"IKZF3"
"ENSG00000269404",286.993012861201,4.88084575969254,0.798284503199837,6.11416824468996,9.70618630197561e-10,4.47630218110128e-07,"SPIB"
"ENSG00000211671",1214.32050274691,6.48798958553142,1.06488557370719,6.09266361168249,1.11047252908432e-09,5.03867954648386e-07,NA
